Season;Overtakes;Overtakes on TV;No. of Races;Average;Average on TV;Median;Median on TV;Percent on TV;ratio_DNF;;;;;;
1984;781;113;16;48,8;71;50;55;1,45492E+16;155,95;;1;;5;;84
1985;742;102;16;46,4;64;48;60;1,37931E+16;120,65;;2;;10;;85
1986;658;107;16;41,1;67;35;60;1,63017E+15;132,77;;3;;15;;86
1987;592;97;16;37;61;37;50;1,64865E+16;118,23;;4;;20;;87
1988;531;108;16;33,2;68;34;65;2,04819E+15;122,97;;5;;25;;88
1989;567;88;16;35,4;55;33;50;1,55367E+15;221,24;;6;;30;;89
1990;544;109;16;34;68;32;60;200;147,49;;7;;35;;90
1991;518;92;16;32,4;58;31;65;1,79012E+16;141,7;;8;;40;;91
1992;426;73;16;26,6;46;22;20;1,72932E+16;123,36;;9;;45;;92
1993;434;92;16;27,1;58;28;60;2,14022E+15;88,99;;10;;50;;93
1994;287;44;16;17,9;28;15,5;25;1,56425E+15;116,59;;11;;55;;94
1995;345;59;17;20,3;35;19;30;1,72414E+16;98,1;;12;;60;;95
1996;212;53;16;13,3;33;10,5;30;2,4812E+15;96,53;;13;;65;;96
1997;334;95;17;19,6;56;16;40;2,85714E+15;74,88;;14;;70;;97
1998;217;57;16;13,6;36;11,5;30;2,64706E+15;72,77;;15;;75;;98
1999;298;104;16;18,6;65;16;55;3,49462E+16;83,33;;16;;80;;99
2000;350;118;17;20,6;69;19;70;3,34951E+15;62,17;;17;;85;;0
2001;277;89;17;16,3;52;12;40;3,19018E+16;65,49;;18;;90;;1
2002;274;78;17;16,1;46;16;40;2,85714E+16;70,75;;19;;95;;2
2003;357;146;16;22,3;91;16,5;65;4,08072E+15;50,94;;20;;100;;3
2004;375;145;18;20,8;81;19;95;3,89423E+16;37,93;;21;;105;;4
2005;246;101;19;12,9;53;11;50;4,10853E+15;33,81;;22;;110;;5
2006;345;154;18;19,2;86;14,5;55;4,47917E+15;44,53;;23;;115;;6
2007;376;183;17;22,1;108;15;60;4,88688E+15;33,1;;24;;120;;7
2008;366;239;18;20,3;133;15;115;6,55172E+15;28,22;;25;;125;;8
2009;301;183;17;17,7;108;11;90;6,10169E+16;21,86;;26;;130;;9
2010;615;313;19;32,4;165;27;150;5,09259E+15;31,41;;27;;135;;10
2011;1249;501;19;65,7;264;55;250;4,01826E+16;21,93;;28;;140;;11
2012;1229;581;20;61,5;291;58,5;275;4,73171E+15;19,4;;29;;145;;12
2013;1029;534;19;54,2;281;55;290;5,1845E+14;13,28;;30;;150;;13
2014;871;450;19;45,8;237;43;220;5,17467E+14;24,46;;31;;155;;14
2015;629;405;19;33,1;213;32;190;6,43505E+15;24,75;;32;;160;;15
2016;1097;565;21;52,2;269;49;250;5,15326E+15;20,63;;33;;165;;16
2017;509;314;20;25,5;157;29,5;180;6,15686E+15;27,39;;34;;170;;17
2018;749;437;21;35,7;208;33;190;5,82633E+15;23,53;;35;;175;;18
2019;949;447;21;45,2;213;45;200;4,71239E+16;13,51;;36;;180;;19
2020;628;388;17;36,9;228;34;230;6,17886E+15;18,47;;37;;185;;20
2021;807;417;22;36,7;190;31;165;5,17711E+16;13,4;;38;;190;;21
2022;994;550;22;45,2;250;34,5;215;5,53097E+16;17,02;;39;;195;;22
2023;1101;654;22;50;297;39,5;230;594;13,99;;40;;200;;23
